Date,Rate,High (est),Low (est)
2016-04-06,1.3085500001907,1.3099149465561,1.3083000183105
2016-04-05,1.314120054245,1.3184299468994,1.3064700365067
2016-04-04,1.3076699972153,1.3215700387955,1.3071999549866
2016-04-03,1.3035999536514,1.3080999851227,1.3005800247192
2016-04-01,1.3013000488281,1.3013000488281,1.3013000488281
2016-03-31,1.2990599870682,1.3143999576569,1.2968000173569
2016-03-30,1.2976599931717,1.300989985466,1.2859699726105
2016-03-29,1.3063000440598,1.3078999519348,1.2913999557495
2016-03-28,1.3174699544907,1.3214399814606,1.3129999637604
2016-03-27,1.3271000385284,1.3282899856567,1.3183000087738
2016-03-25,1.325080037117,1.3268300294876,1.3223999738693
2016-03-24,1.3209999799728,1.3295700550079,1.3207000494003
2016-03-23,1.3050099611282,1.3210500478745,1.3036999702454
2016-03-22,1.3092000484467,1.3136600255966,1.3031500577927
2016-03-21,1.3046000003815,1.3090900182724,1.302099943161
2016-03-20,1.3046000003815,1.3090900182724,1.302099943161
2016-03-18,1.2984000444412,1.3032100200653,1.2930899858475
2016-03-17,1.2984000444412,1.3032100200653,1.2930899858475
2016-03-16,1.3115999698639,1.3121000528336,1.2946200370789
2016-03-15,1.3353999853134,1.3403899669647,1.3342599868774
2016-03-14,1.3272800445557,1.3398000001907,1.3269000053406
2016-03-13,1.3235700130463,1.3305000066757,1.3209999799728
2016-03-11,1.32767,0.0,0.0
2016-03-10,1.3337800502777,1.3341000080109,1.3171000480652
2016-03-09,1.3247699737549,1.3319200277328,1.3240000009537
2016-03-08,1.3416999578476,1.3445999622345,1.3292700052261
2016-03-07,1.3293000459671,1.3407299518585,1.3287999629974
2016-03-06,1.3329999446869,1.3376400470734,1.3297100067139
2016-03-04,1.34092,0.0,0.0
2016-03-03,1.3406000137329,1.347000002861,1.3365800380707
2016-03-02,1.3429000377655,1.3472599983215,1.3378599882126
2016-03-01,1.3427000045776,1.3498100042343,1.3410999774933
2016-02-29,1.3537399768829,1.3549499511719,1.3440999984741
2016-02-28,1.3546999692917,1.3585200309753,1.3482999801636
2016-02-26,1.35807,1.3744,1.3419
2016-02-25,1.3544000387192,1.3561999797821,1.3506000041962
2016-02-24,1.3703000545502,1.3732500076294,1.3578300476074
2016-02-23,1.3796999454498,1.3858599662781,1.3770999908447
2016-02-22,1.3703000545502,1.3798899650574,1.3693000078201
2016-02-21,1.3789000511169,1.378909945488,1.3662300109863
2016-02-19,1.37422,1.3911,1.3575
2016-02-18,1.3737900257111,1.3843899965286,1.3733999729156
2016-02-17,1.3677400350571,1.3707599639893,1.3652000427246
2016-02-16,1.3865200281143,1.3893699645996,1.3700799942017
2016-02-15,1.38218998909,1.390830039978,1.3720799684525
2016-02-14,1.3836799860001,1.3851599693298,1.3796999454498
2016-02-12,1.39197,1.409,1.3751
2016-02-11,1.3916300535202,1.3962899446487,1.3883999586105
2016-02-10,1.3923000097275,1.4009399414062,1.3882700204849
2016-02-09,1.3883199691772,1.3952499628067,1.3822699785233
2016-02-08,1.3925000429153,1.3959000110626,1.3790500164032
2016-02-07,1.3882999420166,1.3977199792862,1.3840999603271
2016-02-05,1.37597,1.3922,1.36
2016-02-04,1.375519990921,1.384369969368,1.3709900379181
2016-02-03,1.379420042038,1.3792999982834,1.3640300035477
2016-02-02,1.4060000181198,1.4099099636078,1.3839000463486
2016-02-01,1.3949999809265,1.407909989357,1.3949999809265
2016-01-31,1.3972799777985,1.4061100482941,1.3973200321198
2016-01-29,1.40523,0.0,0.0
2016-01-28,1.4034299850464,1.408360004425,1.3970600366592
2016-01-27,1.4094799757004,1.412230014801,1.394809961319
2016-01-26,1.4118000268936,1.4155000448227,1.4043999910355
2016-01-25,1.4296000003815,1.4323999881744,1.4077199697495
2016-01-24,1.4140599966049,1.4233800172806,1.4125000238419
2016-01-22,1.42983,0.0,0.0
2016-01-21,1.4270800352097,1.4297000169754,1.4117200374603
2016-01-20,1.4474999904633,1.4537199735641,1.4335500001907
2016-01-19,1.4563200473785,1.4687299728394,1.4493700265884
2016-01-18,1.4544500112534,1.4551000595093,1.4430999755859
2016-01-17,1.4578000307083,1.4580299854279,1.4486999511719
2016-01-15,1.4417,0.0,0.0
2016-01-14,1.4344600439072,1.4545999765396,1.4342000484467
2016-01-13,1.4350999593735,1.4393999576569,1.433660030365
2016-01-12,1.4255000352859,1.4278899431229,1.4186999797821
2016-01-11,1.4221999645233,1.4277399778366,1.4177800416946
2016-01-10,1.4184000492096,1.4190000295639,1.4067000150681
2016-01-08,1.41047,0.0,0.0
2016-01-07,1.4101999998093,1.4149199724197,1.4061299562454
2016-01-06,1.4067599773407,1.4168900251389,1.4052000045776
2016-01-05,1.3983999490738,1.4107899665833,1.3978999853134
2016-01-04,1.3934299945831,1.3981699943542,1.3896000385284
2016-01-03,1.3864500522614,1.3940000534058,1.3847999572754
2016-01-01,1.38461,1.4005,1.3689
2015-12-31,1.3899699449539,1.3899699449539,1.3832199573517
2015-12-30,1.3871999979019,1.3900400400162,1.3835200071335
2015-12-29,1.3833999633789,1.3925399780273,1.3825999498367
2015-12-28,1.3894000053406,1.3939599990845,1.382709980011
2015-12-27,1.3837000131607,1.3913999795914,1.3824000358582
2015-12-25,1.38517,1.4019,1.3686
2015-12-24,1.3827500343323,1.3827500343323,1.3801499605179
2015-12-23,1.3852000236511,1.3873399496078,1.3818000555038
2015-12-22,1.3918999433517,1.3933299779892,1.3860700130463
2015-12-21,1.3951799869537,1.3963500261307,1.3916599750519
2015-12-20,1.3946000337601,1.3977999687195,1.3912999629974
2015-12-18,1.39007,0.0,0.0
2015-12-17,1.3924000263214,1.399680018425,1.3896800279617
2015-12-16,1.3789999485016,1.3954499959946,1.3781000375748
2015-12-15,1.3728400468826,1.3838900327682,1.3726600408554
2015-12-14,1.3726899623871,1.3756300210953,1.3673199415207
2015-12-13,1.3736000061035,1.3780100345612,1.3680299520493
2015-12-11,1.36301,0.0,0.0
2015-12-10,1.3632999658585,1.3710199594498,1.3632999658585
2015-12-09,1.3566999435425,1.3589199781418,1.3531999588013
2015-12-08,1.3579399585724,1.3603999614716,1.3517800569534
2015-12-07,1.350839972496,1.3617399930954,1.350389957428
